Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0,,,
Available at: www.wittgensteincentre.org/dataexplorer ,,,
,,,
,,,
Population Size by Broad Age (000's),,,
"De facto population in a country or region, classified by sex and by broad age groups. Available by level of educational attainment, in all scenarios, and at all geographical scales. Figures are presented in thousands. <br><br> Source for 1950 to 2015: <a href=""http://esa.un.org/wpp/documentation/WPP%202010%20publications.htm"">UN Population Division, World Population Prospects 2017</a>",,,
Medium (SSP2),,,
 ,,,
Area,Year,Age,Population
Albania,2000,25+,1650.4
Albania,2005,25+,1701.7
Albania,2010,25+,1741
Albania,2015,25+,1921.2
Albania,2020,25+,1963.9
Bosnia and Herzegovina,2000,25+,2490.5
Bosnia and Herzegovina,2005,25+,2625.2
Bosnia and Herzegovina,2010,25+,2759.2
Bosnia and Herzegovina,2015,25+,2553.6
Bosnia and Herzegovina,2020,25+,2496.5
Republic of Moldova,2000,25+,2458.6
Republic of Moldova,2005,25+,2572.8
Republic of Moldova,2010,25+,2665.9
Republic of Moldova,2015,25+,2851.9
Republic of Moldova,2020,25+,2936.1
